Country Name,Country Code,2015,2016,2017,2018,2019,2020,2021
Low income,LIC,5.410004196,6.035758582,8.156863234,4.092978193,2.86909425,5.931276366,7.88744302
Uganda,UGA,5.410004196,5.445758784,5.640931922,2.623975052,2.86909425,3.794422749,0
Czech Republic,CZE,0.309364548,0.683504209,2.450533985,2.149494949,2.847875959,3.161295285,3.839844915
Latvia,LVA,0.174242244,0.140633335,2.930363124,2.534454242,2.811409201,0.219064905,3.275829374
Vietnam,VNM,0.631200905,2.66824817,3.520256888,3.539628059,2.795823675,3.220934367,1.834715548
Mozambique,MOZ,3.550759674,17.41804182,15.11320739,3.9113344,2.781106312,3.141691294,0
Sub-Saharan Africa (excluding high income),SSA,3.472387529,5.439234871,5.318716052,4.274621986,2.781106312,3.542356689,5.329709049
Sub-Saharan Africa,SSF,3.550759674,5.432710958,5.25148135,4.092978193,2.77698537,3.794422749,5.329709049
Sub-Saharan Africa (IDA & IBRD countries),TSS,3.550759674,5.432710958,5.25148135,4.092978193,2.77698537,3.794422749,5.329709049
Botswana,BWA,3.062031696,2.814957914,3.308280768,3.238015589,2.772864429,1.890359168,7.240977656
Vanuatu,VUT,2.483268757,0.842069084,3.084526244,2.330963796,2.762520194,5.329350731,2.343283582
Paraguay,PRY,3.129002745,4.086822806,3.602477413,3.975610157,2.757097276,1.767515924,4.787983101
"Macao SAR, China",MAC,4.56056338,2.368957497,1.228124041,3.004462932,2.751930811,0.811410511,0
Bhutan,BTN,4.548143951,3.219886894,4.95508367,2.723963862,2.725821043,5.62999178,7.346838598
Low & middle income,LMY,3.15783118,2.821707847,3.602477413,3.207200124,2.705597298,2.951922532,4.260207725
Central African Republic,CAF,1.402970171,4.945432761,4.180723319,1.61215687,2.685373553,1.710156595,4.259364175
Kosovo,XKX,-0.536929393,0.273169431,1.488234306,1.053797737,2.675992026,0.198227923,3.353691392
Central Europe and the Baltics,CEB,-0.464499005,-0.054999542,2.075935537,2.534454242,2.664561334,1.672440969,3.839844915
Slovak Republic,SVK,-0.325219777,-0.520010196,1.311945882,2.514037129,2.664561334,1.936941267,3.149606299
Europe & Central Asia (IDA & IBRD countries),TEC,3.731691193,0.388838297,2.755649238,2.565728801,2.643281927,2.681782603,5.053677904
Netherlands,NLD,0.600248147,0.316666667,1.381458714,1.703497947,2.633699102,1.272460378,2.675720088
Azerbaijan,AZE,4.027685737,12.44337486,12.93591842,2.268546904,2.610571828,2.75980947,6.650299127
Middle income,MIC,2.891336173,2.464588564,3.323894476,3.123630622,2.610571828,2.547434646,4.089931178
Eswatini,SWZ,4.951244937,7.847274591,6.221375289,4.815061675,2.598016203,0,0
Chile,CHL,4.348773532,3.786193559,2.182718469,2.434889814,2.557544757,3.045490848,4.524568383
