date,inflation
10/9/2012,2.27
10/10/2012,2.23
10/11/2012,2.19
10/12/2012,2.15
10/15/2012,2.19
10/16/2012,2.18
10/17/2012,2.22
10/18/2012,2.22
10/19/2012,2.19
10/22/2012,2.18
10/23/2012,2.15
10/24/2012,2.13
10/25/2012,2.13
10/26/2012,2.08
10/29/2012,2.09
10/30/2012,0
10/31/2012,2.12
11/1/2012,2.13
11/2/2012,2.12
11/5/2012,2.07
11/6/2012,2.12
11/7/2012,2.08
11/8/2012,2.07
11/9/2012,2.05
11/12/2012,0
11/13/2012,2.04
11/14/2012,2.02
11/15/2012,2
11/16/2012,2.01
11/19/2012,2.03
11/20/2012,2.05
11/21/2012,2.05
11/22/2012,0
11/23/2012,2.06
11/26/2012,2.04
11/27/2012,2.02
11/28/2012,1.99
11/29/2012,2
11/30/2012,2.01
12/3/2012,2.04
12/4/2012,2.04
12/5/2012,2.06
12/6/2012,2.06
12/7/2012,2.1
12/10/2012,2.05
12/11/2012,2.07
12/12/2012,2.12
12/13/2012,2.12
12/14/2012,2.11
12/17/2012,2.11
12/18/2012,2.14
12/19/2012,2.13
12/20/2012,2.16
12/21/2012,2.1
12/24/2012,2.13
12/25/2012,0
12/26/2012,2.11
12/27/2012,2.11
12/28/2012,2.06
12/31/2012,2.09
1/1/2013,0
1/2/2013,2.12
1/3/2013,2.11
1/4/2013,2.13
1/7/2013,2.16
1/8/2013,2.15
1/9/2013,2.18
1/10/2013,2.2
1/11/2013,2.18
1/14/2013,2.12
1/15/2013,2.2
1/16/2013,2.18
1/17/2013,2.19
1/18/2013,2.2
1/21/2013,0
1/22/2013,2.15
1/23/2013,2.21
1/24/2013,2.22
1/25/2013,2.21
1/28/2013,2.24
1/29/2013,2.27
1/30/2013,2.26
1/31/2013,2.33
2/1/2013,2.34
2/4/2013,2.32
2/5/2013,2.32
2/6/2013,2.32
2/7/2013,2.29
2/8/2013,2.21
2/11/2013,2.26
2/12/2013,2.2
2/13/2013,2.26
2/14/2013,2.22
2/15/2013,2.19
2/18/2013,0
2/19/2013,2.2
2/20/2013,2.19
2/21/2013,2.19
2/22/2013,2.2
2/25/2013,2.19
2/26/2013,2.18
2/27/2013,2.18
2/28/2013,2.18
3/1/2013,2.2
3/4/2013,2.22
3/5/2013,2.26
3/6/2013,2.27
3/7/2013,2.22
3/8/2013,2.18
3/11/2013,2.28
3/12/2013,2.27
3/13/2013,2.29
3/14/2013,2.31
